Researcher,Affiliation,Companies
"Wang, Zhihong","School of Civil and Transportation Engineering, Guangdong University of Technology, Guangzhou 510006, China","['University of Hong Kong [University]', 'National Natural Science Foundation of China [Foundation]', 'Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhihua","State Key Laboratory of Chemical Resource Engineering, Beijing University of Chemical Technology, Beijing100029, China","['National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Hebei Province [Foundation]', 'Beijing Municipal Commission of Education [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Committee of China-Liaoning Provincial People?s Government [Government]']"
"Wang, Zhiliang","Nanomaterials Centre, School of Chemical Engineering and Australian Institute for Bioengineering and Nanotechnology (AIBN), The University of Queensland, St. Lucia, Brisbane, QLD 4072, Australia",['Department of Education and Training [Government]']
"Wang, Zhiming","School of Chemical Science and Engineering, Shanghai Key Lab of Chemical Assessment and Sustainability, Tongji University, Shanghai 200092, China","['Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhimin","State Key Laboratory of Chemo/Biosensing and Chemometrics, Hunan University, Changsha 410082, P. R. China","['Hunan Provincial Innovation Foundation for Postgraduate [Foundation]', 'Natural Science Foundation of Chongqing Municipality [Foundation]', 'Hunan Province [Unknown]']"
"Wang, Zhining","Shandong Key Laboratory of Water Pollution Control and Resource Reuse, School of Environmental Science and Engineering, Shandong University, Qingdao 266237, People’s Republic of China","['China Postdoctoral Science Foundation [Foundation]', 'Postdoctoral Innovation Project of Shandong Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Shandong Province [Foundation]', 'Shandong Energy Institute, Chinese Academy of Sciences [Unknown]', 'Shandong Province [Unknown]', 'National Key Research and Development Program of China [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Shandong Energy Institute, Chinese Academy of Sciences [Unknown]', 'Postdoctoral Applied Research Project of Qingdao [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Shandong Province [Foundation]', 'Shandong Energy Institute, Chinese Academy of Sciences [Unknown]', 'Shandong Province [Unknown]']"
"Wang, Zhining","Shandong Provincial Key Laboratory of Water Pollution Control and Resource Reuse, School of Environmental Science and Engineering, Shandong University, Qingdao 266237, P. R. China","['National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Shandong Province [Foundation]', 'Technological Innovation Projects of Shandong Province [Unknown]', 'Natural Science Foundation of Shandong Province [Foundation]', 'Shandong Energy Institute [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Joint Fund of the National Natural Science Foundation of China [Foundation]']"
"Wang, Zhiqiang","College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, China; Key Laboratory of Low-Carbon Green Agriculture in Northwestern China, Ministry of Agriculture and Rural Affairs, Yangling 712100, China","['Ministry of Science and Technology [Government]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Shaanxi Science and Technology Plan Project [Unknown]']"
"Wang, Zhiqiang","Key Laboratory for Advanced Materials and Joint International Research Laboratory for Precision Chemistry and Molecular Engineering, Feringa Nobel Prize Scientist Joint Research Center, Centre for Computational Chemistry and Research Institute of Industrial Catalysis, School of Chemistry and Molecular Engineering, East China University of Science and Technology, Shanghai 200237, China","[""Ministry of Education of the People's Republic of China [Government]"", ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'China Postdoctoral Science Foundation [Foundation]', 'Shanghai Municipal Education Commission [Unknown]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Shanghai Institutions of Higher Learning [Unknown]', 'Feringa Nobel Prize Scientist Joint Research Center [Unknown]', 'Shanghai Science and Technology Innovation Action Plan [Unknown]']"
"Wang, Zhiqiang","Key Laboratory of Plant Nutrition and the Agri-Environment in Northwest China, Ministry of Agriculture, College of Natural Resources and Environment, Northwest A&F University, 3# Taicheng Road, Yangling 712100, P. R. China","['National Natural Science Foundation of China [Foundation]', 'Key Research and Development Projects of Shaanxi Province [Unknown]', '?One Hundred Talents? program of Shaanxi Province [Unknown]', 'Shaanxi Science Fund for Distinguished Young Scholars [Unknown]', 'Open Fund of State Key Laboratory of Soil Erosion and Dryland farming on Loess Plateau [Unknown]']"
"Wang, Zhiqi","National Engineering Laboratory for Advanced Municipal Wastewater Treatment and Reuse Technology, Faculty of Environment and Life, Beijing University of Technology, Beijing 100124, China","['Natural Science Foundation of Beijing Municipality [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhiru","State Environmental Protection Key Laboratory of Environmental Health Impact Assessment of Emerging Contaminants, School of Environmental Science and Engineering, Shanghai Jiao Tong University, 800 Dongchuan Road, Minhang District, Shanghai 200240, China; Key Laboratory of Animal Ecology and Conservation Biology, Institute of Zoology, Chinese Academy of Sciences, Beijing 100101, China",['National Natural Science Foundation of China [Foundation]']
"Wang, Zhisheng","State Key Joint Laboratory of Environment Simulation and Pollution Control, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China; University of Chinese Academy of Sciences, Beijing 100049, China","['National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]', 'Ozone Formation Mechanism and Control Strategies Project of Research Center for Eco-Environmental Sciences [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhiwei","Beijing Key Laboratory for Green Catalysis and Separation, Key Laboratory of Beijing on Regional Air Pollution Control, Key Laboratory of Advanced Functional Materials, Education Ministry of China, College of Materials Science and Engineering, Beijing University of Technology, Beijing 100124, China","['Natural Science Foundation of Hebei Province [Foundation]', 'Beijing Municipal Commission of Education [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Committee of China-Liaoning Provincial People?s Government [Government]', 'Natural Science Foundation of Hebei Province [Foundation]', 'Beijing Municipal Commission of Education [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Hebei Province [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Beijing Municipal Education Commission [Unknown]']"
"Wang, Zhiwei","College of Environmental and Energy Engineering, Beijing University of Technology, Beijing 100124, China",['University of Central Florida [University]']
"Wang, Zhiwei","Department of Environmental Chemical Engineering, Faculty of Environment and Life, Beijing University of Technology, Beijing 100124, P. R. China","[""People's Government of Liaoning Province [Government]"", 'Beijing Municipal Commission of Education [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Beijing Municipality [Unknown]']"
"Wang, Zhiwei","Shandong Key Laboratory of Water Pollution Control and Resource Reuse, School of Environmental Science and Engineering, Shandong University, Qingdao, 266237, China",['National Natural Science Foundation of China [Foundation]']
"Wang, Zhiwei","Shanghai Institute of Pollution Control and Ecological Security, Shanghai, 200092, China; State Key Laboratory of Pollution Control and Resource Reuse, School of Environmental Science and Engineering, Tongji University, Shanghai, 200092, China","['University of New South Wales [University]', 'Natural Science Foundation of Shanghai [Foundation]', ""Ministry of Education of the People's Republic of China [Government]"", ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Science and Technology Commission of Shanghai Municipality [Unknown]']"
"Wang, Zhiwei","State Key Laboratory for Managing Biotic and Chemical Threats to the Quality and Safety of Agro-products/Key Laboratory of Detection for Pesticide Residues and Control of Zhejiang, Institute of Agro-product Safety and Nutrition, Zhejiang Academy of Agricultural Sciences, Hangzhou 310021, P. R. China; Agricultural Ministry Key Laboratory for Pesticide Residue Detection, Hangzhou 310021, P. R. China","['Georgia Research Alliance [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'Brook Byers Institute for Sustainable Systems [Unknown]', 'Research Grants Council, University Grants Committee [University]', 'National Natural Science Foundation of China [Foundation]', 'Peak Discipline Construction Program in Environment and Ecology of Shanghai [Unknown]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Peak Discipline Construction Program in Environment and Ecology of Shanghai [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Heilongjiang Provincial Postdoctoral Science Foundation [Foundation]', 'NSFC-NSF (National Natural Science Foundation of China - National Science Foundation of USA) Program [Foundation]', 'Research Grants Council, University Grants Committee [University]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'Alexander von Humboldt-Stiftung [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Jiangsu Province [Foundation]', 'Shanghai Tongji Gao Tingyao Environmental Science and Technology Development Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Key Research and Development Program of Zhejiang Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Shanghai Municipal Education Commission [Unknown]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Shanghai Education Development Foundation [Foundation]']"
"Wang, Zhiyao","Advanced Water Management Centre, The University of Queensland, St Lucia, Brisbane, QLD 4072, Australia","['District of Columbia Water and Sewer Authority [Unknown]', 'Department of Education and Training [Government]', 'University of Queensland [University]', 'UQ Vice-Chancellor???s and Deputy Vice-Chancellor Research Strategic Initiatives Fund [Unknown]', 'Advanced Queensland Industry Research Fellowships [Unknown]']"
"Wang, Zhiyao","Australian Centre for Water and Environmental Biotechnology (ACWEB, formerly AWMC), The University of Queensland, Brisbane, Queensland 4072, Australia","['State Key Joint Laboratory of Environmental Simulation and Pollution Control [Unknown]', 'Australian Research Council [Unknown]', 'University of Queensland [University]', 'Australian Research Council [Unknown]', 'University of Queensland [University]', 'District of Columbia Water and Sewer Authority [Unknown]', 'Australian Research Council [Unknown]', 'China Scholarship Council [Unknown]', 'University of Queensland [University]', 'State Key Joint Laboratory of Environmental Simulation and Pollution Control, Tsinghua University [University]', 'National Key Research and Development Program of China [Unknown]', 'Commonwealth Scientific and Industrial Research Organisation [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'University of Queensland [University]', 'Natural Science Foundation of Zhejiang Province [Foundation]']"
"Wang, Zhiyong","State Key Laboratory of Environmental Aquatic Chemistry, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, 18 Shuangqing Road, Beijing 100085, China; Key Laboratory of Drinking Water Science and Technology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, 18 Shuangqing Road, Beijing 100085, China; University of Chinese Academy of Sciences, 19 Yuquan Road, Beijing 100049, China","['National Key Research and Development Program of China [Unknown]', 'State Key Joint Laboratory of Environmental Simulation and Pollution Control [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Key Science and Technology Project from Inner Mongolia Autonomous Region, China [Unknown]']"
"Wang, Zhiyue","Department of Civil and Environmental Engineering, Stanford University, Stanford, California 94305, United States","['Division of Engineering Education and Centers [Unknown]', 'National Cheng Kung University North America Alumni Association and Foundation [University]']"
"Wang, Zhizhi","State Key Laboratory of Pollution Control and Resource Reuse, School of the Environment, Nanjing University, No. 163 Xianlin Avenue, Nanjing 210023, P. R. China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Government of Jiangsu Province [Government]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhi","Center for Electron Microscopy, Institute for Frontier and Interdisciplinary Sciences, State Key Laboratory Breeding Base of Green Chemistry Synthesis Technology and College of Chemical Engineering, Zhejiang University of Technology, Hangzhou 310014, China","['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Zhejiang Province [Foundation]', 'National Energy-Saving and Low-Carbon Materials Production and Application Demonstration Platform Program [Unknown]']"
"Wang, Zhi","College of Life Science, Hunan Normal University, Changsha, 410006 Hunan, China","['Natural Science Foundation of Hunan Province [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhi","School of Chemical Engineering, Zhengzhou University, 100 Ke xue Dadao, Zhengzhou 450001, China","['Zhengzhou University [University]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Key Research Project of the Higher Education Institutions of Henan Province [Unknown]', 'Henan Province [Unknown]']"
"Wang, Zhi","School of Environmental Science and Engineering, Tianjin University/Tianjin Key Lab of Biomass/Wastes Utilization, Tianjin 300072, P. R. China",['National Natural Science Foundation of China [Foundation]']
"Wang, Zhong-Wei","Shandong Key Laboratory of Environmental Processes and Health, School of Environmental Science and Engineering, Shandong University, Qingdao, Shandong 266237, P. R. China","['China Postdoctoral Science Foundation [Foundation]', 'Postdoctoral Innovation Project of Shandong Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Shandong Province [Foundation]', 'Youth Interdisciplinary Science and Innovative Research Groups of Shandong University [University]', 'Key Research and Development Program of Shandong province [Unknown]', 'Qilu Youth Talent Program of Shandong University [University]']"
"Wang, Zhongjuan","State Key Laboratory of Hydraulics and Mountain River Engineering, College of Architecture and Environment, Sichuan University, Chengdu 610065, China; Sino-German Centre for Water and Health Research, Sichuan University, Chengdu 610065, China","['Natural Science Foundation of Sichuan Province [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Sichuan Province scientific and technological achievements transfer and transformation demonstration project [Government]']"
"Wang, Zhongkai",,"['National Natural Science Foundation of China [Foundation]', 'Introduced Innovative R&D Team Project under the ?Pearl River Talent Recruitment Program? of Guangdong Province [Unknown]', 'Basic and Applied Basic Research Project of Guangzhou [Unknown]']"
"Wang, Zhongkai","Key Laboratory for Water Quality and Conservation of the Pearl River Delta, Ministry of Education, Institute of Environmental Research at Greater Bay, Guangzhou University, Guangzhou 510006, China","['Guangdong Province Introduction of Innovative R&D Team [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Basic and Applied Basic Research Project of Guangzhou [Unknown]']"
"Wang, Zhongwu","Key Laboratory of Grassland Resources of the Ministry of Education, Key Laboratory of Forage Cultivation, Processing and High Efficient Utilization of the Ministry of Agriculture and Rural Affairs, Inner Mongolia Key Laboratory of Grassland Management and Utilization, College of Grassland, Resources and Environment, Inner Mongolia Agricultural University, Hohhot 010011, China","[""Ministry of Education of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Inner Mongolia Key Project [Unknown]']"
"Wang, Zhongxing","State Key Laboratory of Food Science and Technology, Jiangnan University, Wuxi, Jiangsu 214122, People’s Republic of China; International Joint Research Laboratory for Biointerface and Biodetection and School of Food Science and Technology, Jiangnan University, Wuxi, Jiangsu 214122, People’s Republic of China; Collaborative Innovation center of Food Safety and Quality Control in Jiangsu Province, Jiangnan University, Wuxi, Jiangsu 214122, People’s Republic of China",['National Natural Science Foundation of China [Foundation]']
"Wang, Zhongying","Department of Civil and Environmental Engineering, University of California—Berkeley, Berkeley, California 94720, United States; Guangdong Provincial Key Laboratory of Soil and Groundwater Pollution Control, School of Environmental Science and Engineering, Southern University of Science and Technology, 1088 Xueyuan Blvd, Nanshan District Shenzhen 518055, P. R. China","['Basic Energy Sciences [Unknown]', 'Massachusetts Institute of Technology [University]', 'Southern University of Science and Technology [University]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'State Environmental Protection Key Laboratory of Integrated Surface Water-Groundwater Pollution Control [Unknown]']"
"Wang, Zhongying","Guangdong Provincial Key Laboratory of Soil and Groundwater Pollution Control, School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen, 518055 Guangdong, China","['China Postdoctoral Science Foundation [Foundation]', 'Shenzhen Science and Technology Innovation Commission [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Shenzhen Peacock Plan [Unknown]']"
"Wang, Zhongying","School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen 518055, China","['Division of Chemistry [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'SUSTech???MIT Joint Center for Mechanical Engineering Education and Research [Unknown]', 'State Environmental Protection Key Laboratory of Integrated Surface Water-???Groundwater Pollution Control, Southern University of Science and Technology [University]', 'Division of Chemistry [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Shenzhen City [Foundation]', 'State Environmental Protection Key Laboratory of Integrated Surface Water-Groundwater Pollution Control [Unknown]', 'SUSTech-MIT Joint Center for Mechanical Engineering Education and Research [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhongyu","Key Laboratory of Industrial Ecology and Environmental Engineering (Ministry of Education), Dalian Key Laboratory on Chemicals Risk Control and Pollution Prevention Technology, School of Environmental Science and Technology, Dalian University of Technology, Dalian 116024, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'Supercomputing Center of Dalian University of Technology [University]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Beijing National Laboratory for Molecular Sciences [Government]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'MIGRATION project [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhongyu","Solid Waste and Chemicals Management Center, Ministry of Ecology and Environment of the People’s Republic of China, Beijing 100029, China","['Guangdong Provincial Department of Science and Technology [Government]', 'National Key Research and Development Program of China [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'State Laboratory of Organic Geochemistry, Guangzhou Institute of Geochemistry, Chinese Academy of Sciences [University]']"
"Wang, Zhongzhen","School of Chemical & Biomolecular Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332-0100, United States","['National Institute of Food and Agriculture [University]', 'Anhui Provincial Department of Education [Government]', 'U.S. Environmental Protection Agency [Government]', 'Natural Science Foundation of Anhui Province [Foundation]', 'National Science Foundation [Foundation]']"
"Wang, Zhong","National Engineering Laboratory for Advanced Municipal Wastewater Treatment and Reuse Technology, Engineering Research Center of Beijing, Beijing University of Technology, Beijing 100124, PR China","['China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Higher Education Discipline Innovation Project [Unknown]', 'Beijing Municipal Education Commission [Unknown]']"
"Wang, Zhong","School of Ecology and Environment, Tibet University, Lhasa 850000, China","['National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]', 'Second Tibetan Plateau Scientific Expedition and Research Program [Unknown]']"
"Wang, Zhoujie","School of Minerals Processing and Bioengineering, Central South University, Changsha 410083, P. R. China","['Government of Alberta [Government]', 'Canada Research Chairs [Unknown]', 'Canada Foundation for Innovation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Hunan Province [Foundation]', 'Natural Science Foundation of Hunan Province [Foundation]', 'Canada Foundation for Innovation [Foundation]', 'Natural Science Foundation of Sichuan Province [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Southwest Petroleum University [University]', 'Canada Research Chairs Program [Unknown]']"
"Wang, Zhoujun","State Key Laboratory of Chemical Resource Engineering, Beijing Key Laboratory of Energy Environmental Catalysis, Beijing University of Chemical Technology, Beijing 100029, P. R. China","[""Ministry of Education of the People's Republic of China [Government]"", 'Australian Research Council [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zhouyou","Department of Chemical and Biological Engineering, Monash University, Clayton, Victoria 3800, Australia","['Monash University [University]', 'Australian Research Council [Unknown]']"
"Wang, Zhuangzhuang","Hubei Key Laboratory of Mineral Resources Processing and Environment, State Key Laboratory of Silicate Materials for Architectures, Wuhan University of Technology, 122 Luoshi Road, Wuhan, Hubei430070, China",['National Natural Science Foundation of China [Foundation]']
"Wang, Zhuang","Collaborative Innovation Center of Atmospheric Environment and Equipment Technology, Jiangsu Key Laboratory of Atmospheric Environment Monitoring and Pollution Control, School of Environmental Science and Engineering, Nanjing University of Information Science and Technology, Nanjing210044, People’s Republic of China","['Horizon 2020 Framework Programme [Unknown]', 'China Scholarship Council [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]']"
"Wang, Zhujun","CAS Key Laboratory of Environmental Biotechnology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China; College of Resources and Environment, University of Chinese Academy of Sciences, Beijing 100049, China","['China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Qingdao Postdoctoral Application Foundation [Foundation]', 'Open Project of Key Laboratory of Environmental Biotechnology, Chinese Academy of Sciences [Company]', 'Shandong Postdoctoral Innovation Project [Unknown]']"
"Wang, Zhuoqin","Shanghai Engineering Research Center of Solid Waste Treatment and Resource Recovery, School of Environmental Science and Engineering, Shanghai Jiao Tong University, Shanghai 200240, China","['National Natural Science Foundation of China [Foundation]', 'Jinan City Talent Development Project in 2021 [Unknown]', 'Shanghai Municipal Bureau of Ecology and Environment [Unknown]', 'National Key Research and Development Program of China [Unknown]']"
"Wang, Zhuyuan","Dow Centre for Sustainable Engineering Innovation, School of Chemical Engineering, The University of Queensland, St. Lucia, Brisbane, QLD 4072, Australia","['China Scholarship Council [Unknown]', 'Dow Centre for Sustainable Engineering Innovation, University of Queensland [University]']"
"Wang, Zhu",,"['National Natural Science Foundation of China [Foundation]', 'HUST Academic Frontier Youth Team [Unknown]']"
"Wang, Zhu","State Key Laboratory of Environment Health (Incubation), Key Laboratory of Environment and Health, Ministry of Education, Key Laboratory of Environment and Health (Wuhan), Ministry of Environmental Protection, School of Public Health, Tongji Medical College, Huazhong University of Science and Technology, #13 Hangkong Road, Wuhan, Hubei 430030, China","['National Natural Science Foundation of China [Foundation]', 'HUST Academic Frontier Youth Team [Unknown]']"
"Wang, Zi-Rui","State Key Laboratory of Organic Geochemistry and Guangdong Provincial Key Laboratory of Environmental Protection and Resources Utilization, Guangzhou Institute of Geochemistry, Chinese Academy of Sciences, Guangzhou 510640, China; University of Chinese Academy of Sciences, Beijing 100049, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'State Key Laboratory of Organic Geochemistry [Unknown]', 'Chinese Academy of Sciences [Unknown]', 'Guangdong Foundation for Program of Science and Technology Research [Foundation]']"
"Wang, Zichun","School of Engineering, Macquarie University, Sydney, New South Wales 2109, Australia","[""Ministry of Education of the People's Republic of China [Government]"", 'Australian Research Council [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zifa","State Key Laboratory of Atmospheric Boundary Layer Physics and Atmospheric Chemistry, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing 100029, China; College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing 100049, China; Center for Excellence in Regional Atmospheric Environment, Institute of Urban Environment, Chinese Academy of Sciences, Xiamen 361021, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Beijing Municipality [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'the co-funded DFG-NSFC Sino-German AirChanges project [Government]']"
"Wang, Zifa","University of Chinese Academy of Sciences, Beijing 100049, China; State Key Laboratory of Atmospheric Boundary Layer Physics and Atmospheric Chemistry, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing 100029, China; Center for Excellence in Regional Atmospheric Environment, Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, Fujian 361021, China","[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Natural Science Foundation of Beijing Municipality [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Beijing Academy of Artificial Intelligence [Unknown]']"
"Wang, Zihao","School of Space and Environment, Beihang University, Beijing 100191, P. R. China",['National Natural Science Foundation of China [Foundation]']
"Wang, Zihe","Environmental Microbiomics Research Center, School of Environmental Science and Engineering, Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology, State Key Laboratory for Biocontrol, Sun Yat-sen University, Guangzhou 510006, China","['Central University Basic Research Fund of China [University]', 'National Natural Science Foundation of China [Foundation]', 'Guangzhou Basic and Applied Basic Research Foundation [Foundation]', 'Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai) [Unknown]', 'Sun Yat-sen University [University]', 'Southern Marine Science and Engineering Guangdong Laboratory (Guangzhou) [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Guangdong Province [Foundation]', 'Guangzhou Basic and Applied Basic Research Foundation [Foundation]']"
"Wang, Zihe","School of Environmental Science and Engineering, Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology, Sun Yat-sen University, Guangzhou 510006, China","['Southern Marine Science and Engineering Guangdong Laboratory (Guangzhou) [Unknown]', 'Science Fund for Distinguished Young Scholars of Guangdong Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Guangdong Province [Foundation]']"
"Wang, Zihui","State Key Laboratory of Urban Water Resource and Environment, School of Environment, Harbin Institute of Technology, Harbin, 150090, PR China","[""Ministry of Education of the People's Republic of China [Government]"", 'State Key Laboratory of Urban Water Resource and Environment [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'Key Laboratory of Jiangxi Province for Persistent Pollutants Control and Resources Recycle [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'State Key Laboratory of Urban Water Resource and Environment [Unknown]', 'Heilongjiang Provincial Postdoctoral Science Foundation [Foundation]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Science Fund for Distinguished Young Scholars of Heilongjiang Province [Unknown]', 'Heilongjiang Touyan Innovation Team Program [Unknown]']"
